"","STATION","DATE","OBLAST","COUNTRY","DP01","DP01_ATTRIBUTES","DP05","DP05_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"11","KZ000028676",1971,"North Kazakhstan","Kazakhstan",145,"r",NA,NA,46,"r",NA,NA,NA,NA,61,"r",193,"r",131,"r",97,"r",4,"r",410.7,",r",NA,NA
"12","KZ000028676",1972,"North Kazakhstan","Kazakhstan",150,"r",NA,NA,37,"r",NA,NA,NA,NA,82,"r",202,"r",136,"r",73,"r",2,"r",333.7,",r",NA,NA
"13","KZ000028676",1973,"North Kazakhstan","Kazakhstan",130,"r",NA,NA,42,"r",NA,NA,NA,NA,60,"r",198,"r",133,"r",82,"r",2,"r",358,",r",NA,NA
"14","KZ000028676",1974,"North Kazakhstan","Kazakhstan",106,"r",NA,NA,37,"r",NA,NA,NA,NA,97,"r",176,"r",136,"r",86,"r",10,"r",307.5,",r",NA,NA
"15","KZ000028676",1975,"North Kazakhstan","Kazakhstan",124,"r",NA,NA,28,"r",NA,NA,NA,NA,55,"r",188,"r",137,"r",95,"r",7,"r",267,",r",NA,NA
"16","KZ000028676",1976,"North Kazakhstan","Kazakhstan",110,"r",NA,NA,36,"r",NA,NA,NA,NA,85,"r",205,"r",165,"r",101,"r",2,"r",335.3,",r",NA,NA
"17","KZ000028676",1977,"North Kazakhstan","Kazakhstan",141,"r",NA,NA,51,"r",NA,NA,NA,NA,74,"r",187,"r",128,"r",92,"r",10,"r",436.4,",r",NA,NA
"18","KZ000028676",1978,"North Kazakhstan","Kazakhstan",106,"r",NA,NA,33,"r",NA,NA,NA,NA,60,"r",193,"r",126,"r",74,"r",10,"r",258.6,",r",NA,NA
"19","KZ000028676",1979,"North Kazakhstan","Kazakhstan",125,"r",NA,NA,47,"r",NA,NA,NA,NA,64,"r",193,"r",149,"r",73,"r",0,"r",440.6,",r",NA,NA
"20","KZ000028676",1980,"North Kazakhstan","Kazakhstan",109,"r",NA,NA,39,"r",NA,NA,NA,NA,87,"r",191,"r",147,"r",88,"r",1,"r",363.7,",r",NA,NA
"21","KZ000028676",1981,"North Kazakhstan","Kazakhstan",100,"r",NA,NA,31,"r",NA,NA,NA,NA,55,"r",197,"r",127,"r",94,"r",1,"r",274,",r",NA,NA
"22","KZ000028676",1982,"North Kazakhstan","Kazakhstan",127,"r",NA,NA,42,"r",NA,NA,NA,NA,67,"r",192,"r",141,"r",101,"r",6,"r",345.7,",r",NA,NA
"23","KZ000028676",1983,"North Kazakhstan","Kazakhstan",138,"r",NA,NA,43,"r",NA,NA,NA,NA,27,"r",185,"r",120,"r",88,"r",8,"r",314,",r",NA,NA
"24","KZ000028676",1984,"North Kazakhstan","Kazakhstan",113,"r",NA,NA,41,"r",NA,NA,NA,NA,89,"r",200,"r",152,"r",99,"r",3,"r",326,",r",NA,NA
"25","KZ000028676",1985,"North Kazakhstan","Kazakhstan",132,"r",NA,NA,56,"r",NA,NA,NA,NA,NA,"",NA,"",149,"r",79,"r",0,"r",385.6,",r",NA,NA
"26","KZ000028676",1986,"North Kazakhstan","Kazakhstan",131,"r",NA,NA,46,"r",NA,NA,NA,NA,67,"r",193,"r",136,"r",62,"r",1,"r",389.5,",r",NA,NA
"27","KZ000028676",1987,"North Kazakhstan","Kazakhstan",141,"r",NA,NA,51,"r",NA,NA,NA,NA,78,"r",198,"r",143,"r",95,"r",5,"r",419.2,",r",NA,NA
"28","KZ000028676",1988,"North Kazakhstan","Kazakhstan",112,"r",NA,NA,42,"r",NA,NA,NA,NA,75,"r",190,"r",132,"r",90,"r",5,"r",408,",r",NA,NA
"29","KZ000028676",1989,"North Kazakhstan","Kazakhstan",134,"r",NA,NA,52,"r",NA,NA,NA,NA,57,"r",203,"r",130,"r",91,"r",8,"r",393.3,",r",NA,NA
"30","KZ000028676",1990,"North Kazakhstan","Kazakhstan",149,"r",NA,NA,56,"r",NA,NA,NA,NA,48,"r",183,"r",122,"r",89,"r",4,"r",447.5,",r",NA,NA
"31","KZ000028676",1991,"North Kazakhstan","Kazakhstan",113,"r",NA,NA,28,"r",NA,NA,NA,NA,70,"r",182,"r",132,"r",108,"r",9,"r",255.7,",r",NA,NA
"32","KZ000028676",1992,"North Kazakhstan","Kazakhstan",133,"r",NA,NA,45,"r",NA,NA,NA,NA,50,"r",201,"r",139,"r",70,"r",0,"r",383.8,",r",NA,NA
"33","KZ000028676",1993,"North Kazakhstan","Kazakhstan",144,"r",NA,NA,46,"r",NA,NA,NA,NA,83,"r",195,"r",146,"r",87,"r",2,"r",469.8,",r",NA,NA
"34","KZ000028676",1994,"North Kazakhstan","Kazakhstan",149,"r",NA,NA,50,"r",NA,NA,NA,NA,84,"r",178,"r",134,"r",82,"r",5,"r",585,",r",NA,NA
"35","KZ000028676",1995,"North Kazakhstan","Kazakhstan",116,"r",NA,NA,42,"r",NA,NA,NA,NA,52,"r",175,"r",113,"r",100,"r",5,"r",350.7,",r",NA,NA
"36","KZ000028676",1996,"North Kazakhstan","Kazakhstan",112,"r",NA,NA,42,"r",NA,NA,NA,NA,82,"r",206,"r",149,"r",77,"r",5,"r",387,",r",NA,NA
"37","KZ000028676",1997,"North Kazakhstan","Kazakhstan",124,"r",NA,NA,39,"r",NA,NA,NA,NA,69,"r",165,"r",123,"r",88,"r",3,"r",303.5,",r",NA,NA
"38","KZ000028676",1998,"North Kazakhstan","Kazakhstan",106,"r",NA,NA,34,"r",NA,NA,NA,NA,72,"r",196,"r",137,"r",102,"r",22,"r",300.1,",r",NA,NA
"39","KZ000028676",1999,"North Kazakhstan","Kazakhstan",119,"r",NA,NA,38,"r",NA,NA,NA,NA,63,"r",183,"r",134,"r",86,"r",4,"r",339.3,",r",NA,NA
"40","KZ000028676",2000,"North Kazakhstan","Kazakhstan",126,"r",NA,NA,42,"r",NA,NA,NA,NA,56,"r",197,"r",129,"r",98,"r",9,"r",372.4,",r",NA,NA
"41","KZ000028676",2001,"North Kazakhstan","Kazakhstan",164,"r",NA,NA,60,"r",NA,NA,NA,NA,78,"r",183,"r",120,"r",85,"r",1,"r",568.6,",r",NA,NA
"42","KZ000028676",2002,"North Kazakhstan","Kazakhstan",153,"r",NA,NA,52,"r",NA,NA,NA,NA,44,"r",190,"r",118,"r",69,"r",0,"r",418.7,",r",NA,NA
"43","KZ000028676",2003,"North Kazakhstan","Kazakhstan",98,"r",NA,NA,32,"r",NA,NA,NA,NA,64,"r",197,"r",145,"r",100,"r",2,"r",288.7,",r",NA,NA
"44","KZ000028676",2005,"North Kazakhstan","Kazakhstan",111,"r",NA,NA,39,"r",NA,NA,NA,NA,60,"r",185,"r",132,"r",97,"r",4,"r",321.4,",r",NA,NA
"45","KZ000028687",1961,"North Kazakhstan","Kazakhstan",108,"I",NA,NA,30,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",291.1,",I",NA,NA
"46","KZ000028687",1962,"North Kazakhstan","Kazakhstan",100,"I",NA,NA,36,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",292.1,",I",NA,NA
"47","KZ000028687",1963,"North Kazakhstan","Kazakhstan",112,"I",NA,NA,38,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",376.9,",I",NA,NA
"48","KZ000028687",1964,"North Kazakhstan","Kazakhstan",104,"I",NA,NA,44,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",370.9,",I",NA,NA
"49","KZ000028687",1967,"North Kazakhstan","Kazakhstan",95,"I",NA,NA,30,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",335.4,",I",NA,NA
"50","KZ000028687",1969,"North Kazakhstan","Kazakhstan",126,"I",NA,NA,52,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",560.2,",I",NA,NA
"51","KZ000028687",1970,"North Kazakhstan","Kazakhstan",148,"I",NA,NA,48,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",423.7,",I",NA,NA
"52","KZ000028687",1971,"North Kazakhstan","Kazakhstan",138,"I",NA,NA,40,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",407.3,",I",NA,NA
"53","KZ000028687",1972,"North Kazakhstan","Kazakhstan",147,"I",NA,NA,51,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",368.9,",I",NA,NA
"54","KZ000028687",1973,"North Kazakhstan","Kazakhstan",130,"I",NA,NA,44,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",386.8,",I",NA,NA
"55","KZ000028687",1974,"North Kazakhstan","Kazakhstan",106,"I",NA,NA,34,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",255.4,",I",NA,NA
"56","KZ000028687",1975,"North Kazakhstan","Kazakhstan",124,"I",NA,NA,34,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",324,",I",NA,NA
"57","KZ000028687",1976,"North Kazakhstan","Kazakhstan",115,"I",NA,NA,36,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",337.7,",I",NA,NA
"58","KZ000028687",1978,"North Kazakhstan","Kazakhstan",126,"I",NA,NA,45,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",384.3,",I",NA,NA
"59","KZ000028687",1979,"North Kazakhstan","Kazakhstan",134,"I",NA,NA,52,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",453.7,",I",NA,NA
"60","KZ000028687",1981,"North Kazakhstan","Kazakhstan",98,"I",NA,NA,39,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",268,",I",NA,NA
"61","KZ000028687",1982,"North Kazakhstan","Kazakhstan",122,"I",NA,NA,44,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",324.8,",I",NA,NA
"62","KZ000028687",1983,"North Kazakhstan","Kazakhstan",130,"I",NA,NA,40,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",294,",I",NA,NA
"63","KZ000028687",1984,"North Kazakhstan","Kazakhstan",120,"I",NA,NA,40,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",319,",I",NA,NA
"64","KZ000028687",1986,"North Kazakhstan","Kazakhstan",131,"I",NA,NA,41,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",381.2,",I",NA,NA
"65","KZ000028764",1961,"Kostanay","Kazakhstan",95,"I",NA,NA,38,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",359,",I",NA,NA
"66","KZ000028764",1962,"Kostanay","Kazakhstan",88,"I",NA,NA,32,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",240,",I",NA,NA
"67","KZ000028764",1963,"Kostanay","Kazakhstan",113,"I",NA,NA,38,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",332.2,",I",NA,NA
"68","KZ000028764",1964,"Kostanay","Kazakhstan",109,"I",NA,NA,44,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",344.8,",I",NA,NA
"69","KZ000028764",1965,"Kostanay","Kazakhstan",78,"I",NA,NA,30,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",216.6,",I",NA,NA
"70","KZ000028764",1966,"Kostanay","Kazakhstan",128,"I",NA,NA,44,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",385.4,",I",NA,NA
"71","KZ000028764",1967,"Kostanay","Kazakhstan",78,"I",NA,NA,31,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",309.2,",I",NA,NA
"72","KZ000028764",1969,"Kostanay","Kazakhstan",118,"I",NA,NA,43,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",367.2,",I",NA,NA
"73","KZ000028764",1970,"Kostanay","Kazakhstan",119,"I",NA,NA,33,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",359.5,",I",NA,NA
"74","KZ000028764",1971,"Kostanay","Kazakhstan",131,"I",NA,NA,45,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",333.7,",I",NA,NA
"75","KZ000028764",1972,"Kostanay","Kazakhstan",117,"I",NA,NA,38,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",286.9,",I",NA,NA
"76","KZ000028764",1973,"Kostanay","Kazakhstan",127,"I",NA,NA,35,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",437.5,",I",NA,NA
"77","KZ000028764",1974,"Kostanay","Kazakhstan",104,"I",NA,NA,37,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",349.3,",I",NA,NA
"78","KZ000028764",1975,"Kostanay","Kazakhstan",108,"I",NA,NA,26,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",211.5,",I",NA,NA
"79","KZ000028764",1976,"Kostanay","Kazakhstan",106,"I",NA,NA,35,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",309.6,",I",NA,NA
"80","KZ000028764",1978,"Kostanay","Kazakhstan",119,"I",NA,NA,33,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",275.4,",I",NA,NA
"81","KZ000028764",1979,"Kostanay","Kazakhstan",123,"I",NA,NA,45,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",454,",I",NA,NA
"82","KZ000028764",1981,"Kostanay","Kazakhstan",76,"I",NA,NA,18,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",186.8,",I",NA,NA
"83","KZ000028764",1982,"Kostanay","Kazakhstan",113,"I",NA,NA,33,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",312.3,",I",NA,NA
"84","KZ000028764",1983,"Kostanay","Kazakhstan",126,"I",NA,NA,41,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",399.4,",I",NA,NA
"85","KZ000028764",1984,"Kostanay","Kazakhstan",95,"I",NA,NA,43,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",391.5,",I",NA,NA
"86","KZ000028764",1986,"Kostanay","Kazakhstan",119,"I",NA,NA,51,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",424.7,",I",NA,NA
"87","KZ000028766",1961,"North Kazakhstan","Kazakhstan",102,"I",NA,NA,35,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",324.4,",I",NA,NA
"88","KZ000028766",1962,"North Kazakhstan","Kazakhstan",91,"I",NA,NA,32,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",267.5,",I",NA,NA
"89","KZ000028766",1963,"North Kazakhstan","Kazakhstan",109,"I",NA,NA,40,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",328.6,",I",NA,NA
"90","KZ000028766",1964,"North Kazakhstan","Kazakhstan",121,"I",NA,NA,43,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",454.4,",I",NA,NA
"91","KZ000028766",1965,"North Kazakhstan","Kazakhstan",93,"I",NA,NA,32,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",233.3,",I",NA,NA
"92","KZ000028766",1968,"North Kazakhstan","Kazakhstan",136,"I",NA,NA,38,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",375.6,",I",NA,NA
"93","KZ000028766",1969,"North Kazakhstan","Kazakhstan",132,"I",NA,NA,46,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",515.7,",I",NA,NA
"94","KZ000028766",1970,"North Kazakhstan","Kazakhstan",131,"I",NA,NA,42,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",384,",I",NA,NA
"95","KZ000028766",1971,"North Kazakhstan","Kazakhstan",132,"I",NA,NA,39,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",315.9,",I",NA,NA
"96","KZ000028766",1972,"North Kazakhstan","Kazakhstan",129,"I",NA,NA,37,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",349.2,",I",NA,NA
"97","KZ000028766",1973,"North Kazakhstan","Kazakhstan",141,"I",NA,NA,48,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",415.7,",I",NA,NA
"98","KZ000028766",1974,"North Kazakhstan","Kazakhstan",110,"I",NA,NA,42,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",381.9,",I",NA,NA
"99","KZ000028766",1975,"North Kazakhstan","Kazakhstan",127,"I",NA,NA,24,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",263.9,",I",NA,NA
"100","KZ000028766",1976,"North Kazakhstan","Kazakhstan",100,"I",NA,NA,36,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",301.7,",I",NA,NA
"101","KZ000028766",1977,"North Kazakhstan","Kazakhstan",145,"I",NA,NA,47,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",443.4,",I",NA,NA
"102","KZ000028766",1978,"North Kazakhstan","Kazakhstan",123,"I",NA,NA,43,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",320.3,",I",NA,NA
"103","KZ000028766",1979,"North Kazakhstan","Kazakhstan",122,"I",NA,NA,39,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",371.4,",I",NA,NA
"104","KZ000028766",1980,"North Kazakhstan","Kazakhstan",103,"I",NA,NA,29,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",314.2,",I",NA,NA
"105","KZ000028766",1981,"North Kazakhstan","Kazakhstan",94,"I",NA,NA,21,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",218.9,",I",NA,NA
"106","KZ000028766",1982,"North Kazakhstan","Kazakhstan",127,"I",NA,NA,43,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",328.8,",I",NA,NA
"107","KZ000028766",1983,"North Kazakhstan","Kazakhstan",134,"I",NA,NA,42,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",350.8,",I",NA,NA
"108","KZ000028766",1984,"North Kazakhstan","Kazakhstan",105,"I",NA,NA,40,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",310.5,",I",NA,NA
"109","KZ000028766",1986,"North Kazakhstan","Kazakhstan",115,"I",NA,NA,41,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",362.2,",I",NA,NA
"110","KZ000028766",1989,"North Kazakhstan","Kazakhstan",121,"I",NA,NA,31,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",266.5,",I",NA,NA
"111","KZ000028775",1961,"North Kazakhstan","Kazakhstan",98,"I",NA,NA,31,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",367.4,",I",NA,NA
"112","KZ000028775",1962,"North Kazakhstan","Kazakhstan",86,"I",NA,NA,26,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",270.7,",I",NA,NA
"113","KZ000028775",1963,"North Kazakhstan","Kazakhstan",103,"I",NA,NA,28,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",272.9,",I",NA,NA
"114","KZ000028775",1964,"North Kazakhstan","Kazakhstan",121,"I",NA,NA,42,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",442.7,",I",NA,NA
"115","KZ000028775",1965,"North Kazakhstan","Kazakhstan",90,"I",NA,NA,28,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",226.1,",I",NA,NA
"116","KZ000028775",1966,"North Kazakhstan","Kazakhstan",151,"I",NA,NA,43,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",413.9,",I",NA,NA
"117","KZ000028775",1967,"North Kazakhstan","Kazakhstan",90,"I",NA,NA,31,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",255.8,",I",NA,NA
"118","KZ000028775",1968,"North Kazakhstan","Kazakhstan",133,"I",NA,NA,42,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",347.9,",I",NA,NA
"119","KZ000028775",1969,"North Kazakhstan","Kazakhstan",128,"I",NA,NA,51,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",459.7,",I",NA,NA
"120","KZ000028775",1970,"North Kazakhstan","Kazakhstan",133,"I",NA,NA,34,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",305.5,",I",NA,NA
"121","KZ000028775",1971,"North Kazakhstan","Kazakhstan",133,"I",NA,NA,39,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",301.1,",I",NA,NA
"122","KZ000028775",1972,"North Kazakhstan","Kazakhstan",128,"I",NA,NA,29,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",262.1,",I",NA,NA
"123","KZ000028775",1973,"North Kazakhstan","Kazakhstan",106,"I",NA,NA,35,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",350.3,",I",NA,NA
"124","KZ000028775",1974,"North Kazakhstan","Kazakhstan",97,"I",NA,NA,34,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",276.6,",I",NA,NA
"125","KZ000028775",1975,"North Kazakhstan","Kazakhstan",117,"I",NA,NA,27,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",192.1,",I",NA,NA
"126","KZ000028775",1976,"North Kazakhstan","Kazakhstan",94,"I",NA,NA,37,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",314.4,",I",NA,NA
"127","KZ000028775",1979,"North Kazakhstan","Kazakhstan",116,"I",NA,NA,48,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",475,",I",NA,NA
"128","KZ000028775",1981,"North Kazakhstan","Kazakhstan",70,"I",NA,NA,25,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",225.1,",I",NA,NA
"129","KZ000028775",1982,"North Kazakhstan","Kazakhstan",113,"I",NA,NA,41,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",313.9,",I",NA,NA
"130","KZ000028775",1983,"North Kazakhstan","Kazakhstan",121,"I",NA,NA,40,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",382.8,",I",NA,NA
"131","KZ000028775",1984,"North Kazakhstan","Kazakhstan",121,"I",NA,NA,49,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",372.8,",I",NA,NA
"132","KZ000028775",1986,"North Kazakhstan","Kazakhstan",98,"I",NA,NA,41,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",376.6,",I",NA,NA
"133","KZ000028779",1963,"North Kazakhstan","Kazakhstan",90,"I",NA,NA,35,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",334.6,",I",NA,NA
"134","KZ000028779",1964,"North Kazakhstan","Kazakhstan",109,"I",NA,NA,40,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",387.9,",I",NA,NA
"135","KZ000028779",1966,"North Kazakhstan","Kazakhstan",139,"I",NA,NA,37,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",364.6,",I",NA,NA
"136","KZ000028779",1968,"North Kazakhstan","Kazakhstan",114,"I",NA,NA,27,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",396.7,",I",NA,NA
"137","KZ000028779",1971,"North Kazakhstan","Kazakhstan",110,"I",NA,NA,37,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",320.9,",I",NA,NA
"138","KZ000028779",1972,"North Kazakhstan","Kazakhstan",124,"I",NA,NA,31,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",237.2,",I",NA,NA
"139","KZ000028779",1973,"North Kazakhstan","Kazakhstan",109,"I",NA,NA,37,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",275.4,",I",NA,NA
"140","KZ000028779",1974,"North Kazakhstan","Kazakhstan",105,"I",NA,NA,29,"I",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",330.9,",I",NA,NA
